"Albania";"Middle";"2008"
"Armenia";"Low";"2000"
"Armenia";"Middle";"2005"
"Armenia";"Middle";"2010"
"Azerbaijan";"Middle";"2006"
"Bangladesh";"Low";"1994"
"Bangladesh";"Low";"1997"
"Bangladesh";"Low";"2000"
"Bangladesh";"Low";"2004"
"Bangladesh";"Low";"2007"
"Bangladesh";"Low";"2011"
"Benin";"Low";"1996"
"Benin";"Low";"2001"
"Benin";"Low";"2006"
"Bolivia";"Middle";"1994"
"Bolivia";"Middle";"1998"
"Bolivia";"Middle";"2003"
"Bolivia";"Middle";"2008"
"Brazil";"Middle";"1991"
"Brazil";"Middle";"1996"
"Burkina Faso";"Low";"1993"
"Burkina Faso";"Low";"1999"
"Burkina Faso";"Low";"2003"
"Burkina Faso";"Low";"2010"
"Burundi";"Low";"2010"
"Cambodia";"Low";"2000"
"Cambodia";"Low";"2005"
"Cambodia";"Low";"2010"
"Cameroon";"Middle";"1991"
"Cameroon";"Low";"1998"
"Cameroon";"Low";"2004"
"Cameroon";"Middle";"2011"
"Central African Republic";"Low";"1994"
"Chad";"Low";"1997"
"Chad";"Low";"2004"
"Colombia";"Middle";"1990"
"Colombia";"Middle";"1995"
"Colombia";"Middle";"2000"
"Colombia";"Middle";"2005"
"Colombia";"Middle";"2010"
"Comoros";"Low";"1996"
"Congo Brazzaville";"Middle";"2005"
"Congo Brazzaville";"Middle";"2011"
"Congo, Dem. Rep.";"Low";"2007"
"Cote d'Ivoire";"Low";"1994"
"Cote d'Ivoire";"Low";"1998"
"Cote d'Ivoire";"Low";"2005"
"Cote d'Ivoire";"Middle";"2012"
"Dominican Republic";"Middle";"1991"
"Dominican Republic";"Middle";"1996"
"Dominican Republic";"Middle";"1999"
"Dominican Republic";"Middle";"2002"
"Dominican Republic";"Middle";"2007"
"Egypt, Arab Rep.";"Low";"1992"
"Egypt, Arab Rep.";"Middle";"1995"
"Egypt, Arab Rep.";"Middle";"2000"
"Egypt, Arab Rep.";"Middle";"2005"
"Egypt, Arab Rep.";"Middle";"2008"
"Ethiopia";"Low";"2000"
"Ethiopia";"Low";"2005"
"Ethiopia";"Low";"2011"
"Gabon";"Middle";"2000"
"Gabon";"Middle";"2012"
"Ghana";"Low";"1993"
"Ghana";"Low";"1998"
"Ghana";"Low";"2003"
"Ghana";"Low";"2008"
"Guatemala";"Middle";"1995"
"Guinea";"Low";"1999"
"Guinea";"Low";"2005"
"Guyana";"Middle";"2005"
"Guyana";"Middle";"2009"
"Haiti";"Low";"1994"
"Haiti";"Low";"2000"
"Haiti";"Low";"2006"
"Haiti";"Low";"2012"
"Honduras";"Middle";"2005"
"Honduras";"Middle";"2011"
"India";"Low";"1993"
"India";"Low";"1999"
"India";"Low";"2006"
"Indonesia";"Low";"1991"
"Indonesia";"Middle";"1994"
"Indonesia";"Middle";"1997"
"Indonesia";"Middle";"2003"
"Indonesia";"Middle";"2007"
"Indonesia";"Middle";"2012"
"Jordan";"Middle";"1990"
"Jordan";"Middle";"1997"
"Jordan";"Middle";"2002"
"Jordan";"Middle";"2007"
"Kazakhstan";"Middle";"1995"
"Kazakhstan";"Middle";"1999"
"Kenya";"Low";"1993"
"Kenya";"Low";"1998"
"Kenya";"Low";"2003"
"Kenya";"Low";"2008"
"Kyrgyz Republic";"Low";"1997"
"Lesotho";"Low";"2004"
"Lesotho";"Middle";"2009"
"Liberia";"Low";"2007"
"Madagascar";"Low";"1992"
"Madagascar";"Low";"1997"
"Madagascar";"Low";"2004"
"Madagascar";"Low";"2008"
"Malawi";"Low";"1992"
"Malawi";"Low";"2000"
"Malawi";"Low";"2004"
"Malawi";"Low";"2010"
"Maldives";"Middle";"2009"
"Mali";"Low";"1996"
"Mali";"Low";"2001"
"Mali";"Low";"2006"
"Moldova";"Middle";"2005"
"Morocco";"Middle";"1992"
"Morocco";"Middle";"2003"
"Mozambique";"Low";"1997"
"Mozambique";"Low";"2003"
"Mozambique";"Low";"2011"
"Namibia";"Middle";"1992"
"Namibia";"Middle";"2000"
"Namibia";"Middle";"2006"
"Nepal";"Low";"1996"
"Nepal";"Low";"2001"
"Nepal";"Low";"2006"
"Nepal";"Low";"2011"
"Nicaragua";"Low";"1998"
"Nicaragua";"Low";"2001"
"Niger";"Low";"1992"
"Niger";"Low";"1998"
"Niger";"Low";"2006"
"Nigeria";"Low";"1990"
"Nigeria";"Low";"1999"
"Nigeria";"Low";"2003"
"Nigeria";"Middle";"2008"
"Pakistan";"Low";"1991"
"Pakistan";"Low";"2006"
"Paraguay";"Middle";"1990"
"Peru";"Middle";"1992"
"Peru";"Middle";"1996"
"Peru";"Middle";"2000"
"Philippines";"Middle";"1993"
"Philippines";"Middle";"1998"
"Philippines";"Middle";"2003"
"Philippines";"Middle";"2008"
"Rwanda";"Low";"1992"
"Rwanda";"Low";"2000"
"Rwanda";"Low";"2005"
"Rwanda";"Low";"2010"
"Sao Tome and Principe";"Middle";"2008"
"Senegal";"Middle";"1993"
"Senegal";"Low";"1997"
"Senegal";"Low";"2005"
"Senegal";"Middle";"2010"
"Sierra Leone";"Low";"2008"
"South Africa";"Middle";"1998"
"Swaziland";"Middle";"2006"
"Tanzania";"Low";"1992"
"Tanzania";"Low";"1996"
"Tanzania";"Low";"1999"
"Tanzania";"Low";"2004"
"Tanzania";"Low";"2007"
"Tanzania";"Low";"2010"
"Tanzania";"Low";"2012"
"Togo";"Low";"1998"
"Turkey";"Middle";"1993"
"Turkey";"Middle";"1998"
"Turkey";"Middle";"2003"
"Uganda";"Low";"1995"
"Uganda";"Low";"2000"
"Uganda";"Low";"2006"
"Uganda";"Low";"2011"
"Ukraine";"Middle";"2007"
"Uzbekistan";"Middle";"1996"
"Vietnam";"Low";"1997"
"Vietnam";"Low";"2002"
"Yemen, Rep.";"Low";"1991"
"Zambia";"Low";"1992"
"Zambia";"Low";"1996"
"Zambia";"Low";"2002"
"Zambia";"Low";"2007"
"Zimbabwe";"Low";"1994"
"Zimbabwe";"Low";"1999"
"Zimbabwe";"Low";"2005"
"Zimbabwe";"Low";"2010"
