;Base;;;
;Controls;Socioec;Health;Obs.
Pre-Twins 
;;;;
All Families 
Fertility;-0.010;-0.038*;-0.042**;390,985
         ;(0.023);(0.021);(0.021);
;;;;
All Families (bord dummies) 
Fertility;-0.010;-0.038*;-0.042**;390,985
         ;(0.023);(0.021);(0.020);
;;;;
Low-Income Countries 
Fertility;0.006;-0.029;-0.034;244,928
         ;(0.029);(0.026);(0.025);
;;;;
Middle-Income Countries 
Fertility;-0.045;-0.061*;-0.064*;146,057
         ;(0.039);(0.035);(0.035);
;;;;
Desired-Threshold 
Fertility;0.010;-0.029;-0.034;390,985
         ;(0.027);(0.024);(0.023);
Fertility*desire;-0.016;-0.007;-0.006;
         ;(0.011);(0.010);(0.010);
Twins and Pre-Twins 
;;;;
All Families 
Fertility;-0.025;-0.066***;-0.071***;584,566
         ;(0.020);(0.018);(0.018);
;;;;
All Families (bord dummies) 
Fertility;-0.020;-0.054***;-0.058***;584,566
         ;(0.021);(0.019);(0.018);
First Stage (Pre-Twins) 
;;;;
All Families 
Twins;0.779***;0.808***;0.812***;390,985
         ;(0.024);(0.022);(0.022);
NOTES: Three-plus refers to all first- and second-born children in families with three or more children.  Each cell presents the coefficient of a 2SLS regression where fertility is instrumented by twinning at birth order three.  Base controls include age, mother's age, and mother's age at birth fixed effects plus country and year-of-birth FEs.  Standard errors are clustered by mother. 
* p<0.1, ** p<0.05, *** p<0.01
