	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	twin	twin	twin	twin	twin	twin
						
m_age_birth	0.00456***	0.00448***	0.00448***	0.00329**	0.00244*	0.00244*
	(0.00131)	(0.00129)	(0.00129)	(0.00147)	(0.00146)	(0.00146)
m_age_sq	-7.46e-05***	-7.36e-05***	-7.36e-05***	-6.33e-05***	-5.12e-05**	-5.12e-05**
	(2.26e-05)	(2.22e-05)	(2.22e-05)	(2.46e-05)	(2.42e-05)	(2.42e-05)
indigenous	-0.0104***	-0.0111***	-0.0111***	-0.0111***	-0.0110***	-0.0110***
	(0.00376)	(0.00384)	(0.00384)	(0.00377)	(0.00384)	(0.00384)
poor		0.00883**	0.00883**		0.00607	0.00607
		(0.00420)	(0.00420)		(0.00418)	(0.00418)
educ1_4		-0.00582	-0.00582		-0.0102	-0.0102
		(0.00619)	(0.00619)		(0.00638)	(0.00638)
educ5_6		-0.00286	-0.00286		-0.00679	-0.00679
		(0.00612)	(0.00612)		(0.00629)	(0.00629)
educ7_10		-0.00390	-0.00390		-0.00502	-0.00502
		(0.00545)	(0.00545)		(0.00548)	(0.00548)
educ11plus		0.00984	0.00984		0.0118*	0.0118*
		(0.00706)	(0.00706)		(0.00706)	(0.00706)
2.preg_nutrition		0.00835**	0.00835**		0.00803*	0.00803*
		(0.00416)	(0.00416)		(0.00415)	(0.00415)
3.preg_nutrition		0.0109**	0.0109**		0.00985**	0.00985**
		(0.00487)	(0.00487)		(0.00487)	(0.00487)
4.preg_nutrition		-0.00882	-0.00882		-0.00944	-0.00944
		(0.00693)	(0.00693)		(0.00696)	(0.00696)
preg_anemia		0.00849*	0.00849*		0.00737	0.00737
		(0.00480)	(0.00480)		(0.00484)	(0.00484)
preg_No_attention		-0.0175***	-0.0175***		-0.0187***	-0.0187***
		(0.00667)	(0.00667)		(0.00667)	(0.00667)
preg_smoked		-0.00635	-0.00635		-0.00712*	-0.00712*
		(0.00399)	(0.00399)		(0.00398)	(0.00398)
2.preg_drugs		-0.00193	-0.00193		-0.00154	-0.00154
		(0.0158)	(0.0158)		(0.0158)	(0.0158)
3.preg_drugs		-0.0183***	-0.0183***		-0.0173***	-0.0173***
		(0.00349)	(0.00349)		(0.00371)	(0.00371)
2.preg_alcohol		-0.00111	-0.00111		-0.00137	-0.00137
		(0.00548)	(0.00548)		(0.00549)	(0.00549)
3.preg_alcohol		-0.0184***	-0.0184***		-0.0192***	-0.0192***
		(0.00290)	(0.00290)		(0.00327)	(0.00327)
preg_publichosp		0.0104***	0.0104***		0.00948***	0.00948***
		(0.00337)	(0.00337)		(0.00335)	(0.00335)
2.region	0.00236	0.00486	0.00486	0.00278	0.00521	0.00521
	(0.0113)	(0.0113)	(0.0113)	(0.0112)	(0.0113)	(0.0113)
3.region	0.00628	0.00548	0.00548	0.00722	0.00679	0.00679
	(0.0144)	(0.0143)	(0.0143)	(0.0144)	(0.0143)	(0.0143)
4.region	-0.00369	-0.00703	-0.00703	-0.00203	-0.00466	-0.00466
	(0.0109)	(0.0108)	(0.0108)	(0.0109)	(0.0108)	(0.0108)
5.region	-0.00262	-0.00265	-0.00265	-0.000646	-0.000492	-0.000492
	(0.0101)	(0.0101)	(0.0101)	(0.0101)	(0.0101)	(0.0101)
6.region	-0.000296	-0.00144	-0.00144	0.00224	0.00200	0.00200
	(0.0109)	(0.0108)	(0.0108)	(0.0109)	(0.0109)	(0.0109)
7.region	0.00382	0.00218	0.00218	0.00606	0.00556	0.00556
	(0.0109)	(0.0109)	(0.0109)	(0.0109)	(0.0109)	(0.0109)
8.region	-0.00518	-0.00601	-0.00601	-0.00345	-0.00361	-0.00361
	(0.00991)	(0.00989)	(0.00989)	(0.00990)	(0.00989)	(0.00989)
9.region	0.000704	-0.00241	-0.00241	0.00222	0.000121	0.000121
	(0.0108)	(0.0107)	(0.0107)	(0.0108)	(0.0107)	(0.0107)
10.region	0.00247	0.00175	0.00175	0.00440	0.00453	0.00453
	(0.0109)	(0.0109)	(0.0109)	(0.0108)	(0.0109)	(0.0109)
11.region	-0.00688	-0.00910	-0.00910	-0.00521	-0.00622	-0.00622
	(0.0150)	(0.0149)	(0.0149)	(0.0150)	(0.0149)	(0.0149)
12.region	0.0139	0.0145	0.0145	0.0165	0.0172	0.0172
	(0.0187)	(0.0188)	(0.0188)	(0.0187)	(0.0187)	(0.0187)
13.region	0.00190	0.00255	0.00255	0.00372	0.00462	0.00462
	(0.00961)	(0.00959)	(0.00959)	(0.00959)	(0.00958)	(0.00958)
14.region	-0.00479	-0.00644	-0.00644	-0.00280	-0.00369	-0.00369
	(0.0125)	(0.0126)	(0.0126)	(0.0125)	(0.0126)	(0.0126)
15.region	-0.00883	-0.00827	-0.00827	-0.00706	-0.00655	-0.00655
	(0.0122)	(0.0122)	(0.0122)	(0.0122)	(0.0122)	(0.0122)
1.age	-0.000424	-0.000354	-0.000354	-0.000601	-0.000561	-0.000561
	(0.00509)	(0.00512)	(0.00512)	(0.00509)	(0.00513)	(0.00513)
2.age	0.00375	0.00392	0.00392	0.00341	0.00351	0.00351
	(0.00519)	(0.00522)	(0.00522)	(0.00519)	(0.00522)	(0.00522)
3.age	0.00309	0.00321	0.00321	0.00280	0.00290	0.00290
	(0.00517)	(0.00520)	(0.00520)	(0.00516)	(0.00520)	(0.00520)
4.age	0.000286	0.000424	0.000424	-0.000164	-0.000177	-0.000177
